Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
23,4,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,5,1,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,5,1,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,4,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
17,2,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,3,2,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,3,2,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
18,6,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,2,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,4,3,3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,4,3,3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,2,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,2,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,5,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,7,5,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,7,5,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,5,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,5,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,5,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,6,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,6,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
3,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
21,4,7,3,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,7,3,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
21,6,8,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
22,6,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,1,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,7,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
19,4,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,11,1,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,11,1,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,6,11,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,6,11,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
17,6,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,6,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,6,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,6,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
16,3,12,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
16,3,12,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,1,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,1,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,6,12,2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,2,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,3,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
0,3,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1,1,1,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
19,1,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,10,1,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
19,5,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
1,3,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,7,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,7,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,7,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,4,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
21,3,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,3,5,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
0,1,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,7,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,4,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,8,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
2,7,8,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
20,3,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,3,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,1,11,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,4,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
5,7,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
20,2,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,3,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,7,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,5,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
21,1,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,1,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,2,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Slight
3,6,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,6,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,1,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,1,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,4,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,4,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,3,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,3,11,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,3,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,7,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,7,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,7,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,3,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,3,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,3,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,3,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
18,3,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,1,3,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
20,4,4,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
23,6,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,6,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,6,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
21,1,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,4,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,4,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,6,9,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Minibus (8 – 16 passenger seats),Slight
19,6,10,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,2,11,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,11,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,12,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,1,2,2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,1,2,2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,4,2,1,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,7,3,1,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,3,11,1,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,5,11,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,5,11,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,5,11,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
20,3,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,3,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,6,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,2,4,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,1,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
19,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,1,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
19,1,3,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
20,1,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,1,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,6,3,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Slight
20,3,3,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
19,5,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,6,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,7,4,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,7,4,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,1,4,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
0,2,4,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,5,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,5,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
21,3,5,3,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,4,6,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,1,6,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,3,6,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,7,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,7,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,4,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,6,7,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,7,7,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,7,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,8,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,1,8,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,1,8,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,1,8,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,3,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,3,9,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,2,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,5,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
18,5,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
0,6,10,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
23,5,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,6,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,6,10,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,10,2,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,7,10,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
17,1,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,2,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
17,3,10,3,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,1,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
16,3,11,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
0,7,11,4,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,7,11,4,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,2,11,3,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
17,4,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,4,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,5,11,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,6,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,6,11,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
17,2,12,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,12,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
17,3,12,3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
16,5,12,4,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,6,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
16,7,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
17,7,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
1,5,12,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
17,5,12,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,2,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,2,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,2,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,2,1,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,2,1,2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,6,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,6,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,5,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
20,5,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
20,5,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
18,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,2,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
3,6,3,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,4,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,4,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,4,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,2,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
19,2,3,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
20,6,3,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
1,6,4,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1,6,4,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,6,4,2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,6,4,2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,4,5,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
0,1,5,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
4,6,5,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
4,6,5,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
22,4,6,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
5,6,6,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,6,7,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,6,7,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,7,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
23,6,7,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
22,5,7,5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
22,5,7,5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
22,5,7,5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
22,5,7,5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
21,5,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
2,6,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,2,8,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,6,8,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,6,8,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,9,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
2,7,9,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,5,9,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
21,2,10,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
21,2,10,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
4,3,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
4,3,10,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
23,7,10,6,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Slight
