Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
8,4,11,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Taxi/Private hire car,Slight
16,3,1,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
16,3,1,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
12,3,1,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
8,5,3,1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
16,5,5,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
16,5,5,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
8,3,10,3,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
8,4,12,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
10,6,2,2,B,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
11,7,10,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
8,3,11,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
9,4,11,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
11,4,11,4,Motorway,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
11,4,11,4,Motorway,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
19,5,9,4,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Car,Slight
19,5,9,4,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Car,Slight
6,1,12,2,Unclassified,Frost / Ice,Darkness: street lights present but unlit,Fine without high winds,Car,Slight
6,1,12,2,Unclassified,Frost / Ice,Darkness: street lights present but unlit,Fine without high winds,Car,Slight
1,4,7,3,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Serious
21,2,8,1,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Serious
3,1,4,1,A(M),Dry,Darkness: no street lighting,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Serious
17,2,1,3,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Serious
17,2,1,3,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Serious
20,2,1,1,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Serious
21,2,3,2,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Car,Serious
